,username,Tribe,Leadership score,Neighourhood density
533,,2,0.0007787195208531717,0.6701040505388332
534,,0,0.0016947312160737935,0.6031732232123451
539,,1,0.006107692555138988,0.4178422324763788
548,,1,0.005287991183706256,0.4273596446046871
555,,0,0.00013513811447490157,0.7971014492753623
557,,1,0.007832522934479587,0.4002313178693054
576,,1,0.007475903343738867,0.39635754352735486
602,,0,0.0063115576373462875,0.42890552584670233
604,,0,0.0020582104397429916,0.6009431181844975
616,,2,0.001977538400315171,0.6064609537598408
617,,3,0.014168383385230491,0.3544026152061584
621,,0,0.00013222694069011637,0.7959326788218793
626,,2,0.004411177020678153,0.509461052180435
643,,2,0.0007499894236502224,0.7266626802205833
680,,0,0.0006028891406824917,0.6666666666666666
681,,0,0.0003461800758550848,0.7635525764558022
688,,1,3.966604777516991e-05,0.8441558441558441
701,,0,0.0002074600218724915,0.7567226890756302
702,,0,0.0005813218130333743,0.6731222842954686
714,,0,8.914469047758009e-05,0.8664736164736164
716,,0,0.0017137722814971285,0.6176571920757967
734,,0,0.00034999490753900354,0.7621124031007752
738,,0,0.00016166822302605843,0.7721780135573239
746,,0,3.493493093664745e-05,0.8704628704628704
762,,1,0.003964542026331254,0.44819143726980476
794,,0,0.0011477737969061942,0.6616582914572864
801,,1,4.570276119052493e-06,0.9358974358974359
803,,3,0.00014873962346937538,0.7495495495495496
834,,0,0.0013354001622107397,0.6546466687940999
847,,0,0.0003965691641107965,0.7557963875205255
851,,2,0.00024068343048307424,0.7820797630381889
872,,2,0.00032329493293457796,0.7547936507936508
880,,1,0.008620583314661534,0.3987290270081761
893,,2,3.833279635392191e-05,0.8619909502262444
922,,2,4.1021073722891235e-05,0.8448393711551606
941,,0,0.0001799127525264173,0.7630047610650679
976,,2,0.00015367649085652662,0.8332635106828655
999,,0,0.0009999488602844401,0.6439087228560912
1001,,1,5.921538580112122e-05,0.8516015280634734
1030,,0,0.0017583590510784084,0.5969897143546588
1048,,1,0.0037473010892860063,0.47951523379786765
1082,,2,0.0008246001641911808,0.6817910447761194
1117,,0,0.0002974874273415082,0.7907764250584536
1129,,0,0.002292114582756698,0.571201588877855
1137,,0,0.0002612284643890135,0.7902592301649647
1189,,2,9.707668578186302e-05,0.8493408662900188
1214,,1,0.010484257620881784,0.3818527090380393
1229,,0,0.00018333156170784312,0.7973379132674968
1236,,2,0.0008840431089471908,0.6939400904006742
1237,,2,0.00017789358737464067,0.7379921665635951
1285,,2,0.0011886572646881241,0.6627978242549606
1287,,1,0.006986535090174398,0.4069789466015881
1298,,2,0.0001712853746904255,0.8133141762452107
1321,,0,0.00047545918154983,0.7356002281151982
1325,,1,0.00919048186798214,0.39839320081114943
1338,,2,0.0001034661555680077,0.807070707070707
1349,,0,0.00010161875604642025,0.805599104143337
1355,,2,0.0009978556230909826,0.6715829568606608
1356,,1,0.003820690171617214,0.4571102582719635
1364,,1,5.976070718317551e-06,0.9147286821705426
1401,,2,0.0004050926596259997,0.7669282185411218
1430,,0,0.0011070343294979303,0.6390134529147982
